Posicao,Country Name,Valor_Inicial,Valor_Final,Crescimento_Percentual
1,Argentina,1.06737995147705,5.32548999786377,398.93104985664286
2,Paraguay,1.0626699924469,4.95539999008179,366.3159800599529
3,Solomon Islands,2.75381994247437,10.0010795593262,263.17115019292083
4,Indonesia,0.997870028018951,3.59180998802185,259.9476772694125
5,Mozambique,2.05193996429443,6.48322010040283,215.95564262193795
6,"Venezuela, RB",2.52840995788574,6.87723016738892,171.99822346608968
7,Dominican Republic,0.781180024147034,2.04456996917725,161.72839882966852
8,Ecuador,1.99764001369476,4.96322011947632,148.45418020519793
9,Senegal,3.19777989387512,7.39620018005371,131.29172192933137
10,Mexico,2.31176996231079,5.31347990036011,129.84466391495468
